down,timedelta,up
71,-16815,86
32,-17791,74
84,-17824,89
74,-18440,76
89,-18438,70
89,-18007,71
84,-18014,70
74,-18151,80
68,-18574,16
32,-18397,189
84,-19280,74
74,-19696,72
82,-19664,84
67,-19704,68
68,-19648,84
84,-19720,67
80,-20049,16
76,-19794,32
66,-22152,70
82,-21738,89
66,-21753,32
89,-22209,75
74,-22209,70
186,-22544,68
76,-22472,84
72,-23001,74
74,-23176,68
16,-23569,16
32,-23954,32
75,-23871,191
66,-21399,84
88,-21393,79
89,-21008,66
74,-21135,75
82,-21103,66
74,-21073,88
32,-22159,69
69,-21288,32
76,-21606,84
74,-21479,74
85,-21478,89
32,-21440,78
50,-21248,74
52,-22295,219
57,-22591,84
49,-22830,71
32,-21918,32
68,-21984,84
16,-21100,74
16,-20886,89
16,-20767,89
16,-20527,84
16,-20209,74
16,-19818,68
16,-19505,32
16,-18202,84
16,-18023,74
32,-18119,82
191,-18415,67
190,-18807,68
66,-18808,84
